Date,Season,Opp,Type,Rslt,Tm,Opp_score,eFG%,TOV%,DRB%,FT%,Opp_eFG%,Opp_TOV%,Opp_DRB%,Opp_FT%,Source_File
2024-12-12,2024-2025,Virginia,REG (Non-Conf),L,41.0,59.0,0.355,8.0,20.0,0.333,0.51,11.0,30.0,0.667,bethune-cookman.csv
2024-12-14,2024-2025,West Virginia,REG (Non-Conf),L,61.0,84.0,0.393,13.0,26.0,0.684,0.552,8.0,29.0,0.909,bethune-cookman.csv
2024-12-18,2024-2025,South Florida,REG (Non-Conf),W,77.0,69.0,0.519,11.0,25.0,0.917,0.417,12.0,14.0,0.792,bethune-cookman.csv
2024-12-21,2024-2025,Davidson,REG (Non-Conf),L,63.0,76.0,0.442,12.0,20.0,0.63,0.618,12.0,23.0,0.684,bethune-cookman.csv
2024-12-30,2024-2025,Mississippi State,REG (Non-Conf),L,73.0,87.0,0.548,16.0,22.0,0.667,0.574,9.0,20.0,0.708,bethune-cookman.csv
2025-01-04,2024-2025,Florida A&M,REG (Conf),W,62.0,55.0,0.481,12.0,25.0,0.769,0.461,15.0,21.0,0.667,bethune-cookman.csv
2025-01-11,2024-2025,Grambling State,REG (Conf),W,65.0,59.0,0.42,14.0,27.0,0.767,0.366,12.0,23.0,0.667,bethune-cookman.csv
2025-01-13,2024-2025,Southern,REG (Conf),L,53.0,69.0,0.356,13.0,27.0,0.611,0.418,8.0,30.0,0.591,bethune-cookman.csv
2025-01-18,2024-2025,Mississippi Valley State,REG (Conf),W,83.0,58.0,0.657,11.0,23.0,0.6,0.471,15.0,22.0,0.563,bethune-cookman.csv
2025-01-20,2024-2025,ArkansasâPine Bluff,REG (Conf),W,73.0,64.0,0.419,10.0,29.0,0.808,0.417,13.0,21.0,0.778,bethune-cookman.csv
2025-01-25,2024-2025,Jackson State,REG (Conf),L,81.0,86.0,0.534,15.0,22.0,0.75,0.534,10.0,20.0,0.767,bethune-cookman.csv
2025-01-27,2024-2025,Alcorn State,REG (Conf),L,61.0,70.0,0.439,14.0,23.0,0.786,0.458,6.0,19.0,0.696,bethune-cookman.csv
